Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,ProductID,CropName
Red Sorghum,-,-,-,Kutus,90.00/Kg,125.00/Kg,,Kirinyaga,2026-02-09,2,Product-2
Red Sorghum,-,-,-,Kangeta,70.00/Kg,80.00/Kg,700.0,Meru,2026-02-09,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-02-09,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-09,2,Product-2
Red Sorghum,-,-,-,Kitale Municipality Market,75.00/Kg,100.00/Kg,300.0,Trans-Nzoia,2026-02-09,2,Product-2
Red Sorghum,-,-,-,Khayega,120.00/Kg,130.00/Kg,200.0,Kakamega,2026-02-08,2,Product-2
Red Sorghum,-,-,-,Kibuye,-,100.00/Kg,,Kisumu,2026-02-08,2,Product-2
Red Sorghum,-,-,-,Muhoroni,60.00/Kg,72.00/Kg,1500.0,Kisumu,2026-02-08,2,Product-2
Red Sorghum,-,-,-,Makutano Embu,38.00/Kg,40.00/Kg,,Embu,2026-02-07,2,Product-2
Red Sorghum,-,-,-,Ngurubani Market,37.78/Kg,40.00/Kg,1350.0,Kirinyaga,2026-02-06,2,Product-2
Red Sorghum,-,-,-,Mumias,-,68.18/Kg,,Kakamega,2026-02-06,2,Product-2
Red Sorghum,-,-,-,Kangeta,100.00/Kg,80.00/Kg,700.0,Meru,2026-02-06,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-02-06,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-06,2,Product-2
Red Sorghum,-,-,-,Katito,75.00/Kg,82.61/Kg,2500.0,Kisumu,2026-02-05,2,Product-2
Red Sorghum,-,-,-,Kawangware,77.78/Kg,120.00/Kg,,Nairobi,2026-02-05,2,Product-2
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-05,2,Product-2
